名字,url,关注数,粉丝数,微博数,色温
新浪体育电竞,https://weibo.com/u/1665680640,423,1308565,18783,492904.46573
微博电竞,https://weibo.com/u/6249241592,839,2632788,6240,
新浪电竞,https://weibo.com/haiqing1988,62,723492,1804,9591.90291475
PentaQ刺猬电竞社,https://weibo.com/LOLPentaQ,1022,393695,48104,3202.14780122
腾讯电竞,https://weibo.com/u/6062063357,1259,1437393,10619,3932.71228224
人民电竞,https://weibo.com/renmindianjing,165,390174,2644,5458.95196597
微博电竞全明星战队,https://weibo.com/u/7504362536,55,338090,125,4808.13396135
RW电竞俱乐部,https://weibo.com/RogueWarriors,201,921279,1797,3558.96321092
AutoFull傲风电竞椅,https://weibo.com/AutoFull,1300,365641,9646,4940.6981442
AORUS技嘉电竞,https://weibo.com/gigabytevga,282,1002148,5503,8425.01972652
MAX电竞官博,https://weibo.com/dotamax,668,81137,4054,5054.91066465
魅族电竞,https://weibo.com/meizushequ,114,134911,4284,
KS_YTG电竞俱乐部王者荣耀分部,https://weibo.com/ytg520,388,572737,4722,1959.62982703
迪锐克斯DXRACER电竞椅,https://weibo.com/dxracer,1788,231396,9256,6525.69051418
守望先锋电竞,https://weibo.com/owesport,169,84733,2893,4932.85154322
美炬电竞传媒,https://weibo.com/meijumedium,468,205262,2401,3204.83522778
VP电竞-DOTA2,https://weibo.com/vpgame,513,65788,6869,3379.67839057
企鹅电竞,https://weibo.com/egameqq,606,530903,8327,8750.85307034
网易电竞NeXT,https://weibo.com/u/6613329781,283,376974,4954,6771.90351124
滔搏电竞王者荣耀分部,https://weibo.com/u/6628651635,139,729080,2157,1644.6106616
电竞游戏社,https://weibo.com/906995356,231,82447,8164,
电竞智囊团,https://weibo.com/u/6465941015,821,60541,10655,
体坛电竞,https://weibo.com/u/6185266780,257,77700,4415,-4811.65564332
玩加电竞APP,https://weibo.com/wanplus,244,31161,489,
西恩电竞社,https://weibo.com/OverwatchGO,67,86386,995,9591.90291475
哔哩哔哩电竞公司,https://weibo.com/u/6885103018,118,471614,509,10900.3551656
IGXE电竞饰品交易平台,https://weibo.com/u/5819701676,323,146023,1959,3864.42418615
英雄联盟电竞经理,https://weibo.com/u/7290245075,21,66601,26,8507.95385774
VG电竞俱乐部Dota2分部,https://weibo.com/vgdota2,134,53197,9744,32452.2381013
安德斯特电竞椅andaseat,https://weibo.com/u/1239135377,808,228648,3781,4730.69924244
仙阁电竞俱乐部,https://weibo.com/xgjj666,220,53139,606,
乐动体育电竞官方,https://weibo.com/u/3357960784,67,79866,0,
拯救者电竞手机,https://weibo.com/u/7356339351,21,410891,535,3938.90935629
V5电竞平台,https://weibo.com/u/6427933371,592,215673,3972,3390.60244293
乐动电竞企宣,https://weibo.com/u/5797251572,119,45811,1132,17692.5661502
YG电竞联赛,https://weibo.com/u/6538950832,260,64893,766,21063.5965163
乐动电竞官方,https://weibo.com/u/5612937687,86,45763,452,5880.19957503
FIFA电竞世界杯,https://weibo.com/u/6760871632,68,374798,2015,2304.51862513
威客电竞,https://weibo.com/u/6562554283,232,31909,7276,5285.63243843
火豹电竞,https://weibo.com/u/7506736548,150,57490,62,
