名字,url,关注数,粉丝数,微博数,色温
腾讯视频,https://weibo.com/ilovevideo,3191,14513280,97171,6006.27868744
腾讯体育,https://weibo.com/tengxuntiyu,391,3357631,48679,2506.35361547
腾讯微信团队,https://weibo.com/weixinteam,44,576102,1188,
腾讯综艺,https://weibo.com/remendezongyi,1713,4148991,40310,7063.86020286
腾讯微视,https://weibo.com/u/6479255096,1340,1754238,14023,10895.7917544
腾讯公司,https://weibo.com/tencent,195,825578,1218,11374.8885751
腾讯新闻出品,https://weibo.com/tengxunxinwen,317,600913,8083,5637.41597385
腾讯动漫,https://weibo.com/u/5203786516,877,1221867,15760,7034.89720353
腾讯新闻,https://weibo.com/u/2806170583,403,662081,19100,63945.61468069999
腾讯娱乐,https://weibo.com/u/3182423937,1455,518825,10037,
腾讯游戏,https://weibo.com/u/3604205173,549,1722218,5683,3808.28605632
腾讯电竞,https://weibo.com/u/6062063357,1252,1432036,10533,3932.71228224
腾讯电影,https://weibo.com/qqmovies,581,1447650,19889,8537.39511856
腾讯影业,https://weibo.com/tencentpictures,457,1635881,5164,14087.134181799998
腾讯QQ,https://weibo.com/tencentmobileqq,215,367418,1929,
腾讯视频音乐,https://weibo.com/tencentmusic,1571,764862,19111,4537.61795124
腾讯游戏安全中心,https://weibo.com/u/6160862917,287,462359,4823,13382.370083299998
腾讯时尚,https://weibo.com/u/6011462323,720,1311671,16772,5462.25805223
腾讯电脑管家,https://weibo.com/qqpcmgr,718,1585706,15463,-4272879.70452
腾讯手机管家,https://weibo.com/txmanager,429,2412648,14241,27404.505666900004
腾讯课堂,https://weibo.com/tencentketang,370,91440,1281,
腾讯网游加速器官方微博,https://weibo.com/u/6500847626,23,170165,412,9591.90291475
腾讯CDC体验设计,https://weibo.com/txcdc,1451,39325,707,5110.54683964
腾讯应用宝,https://weibo.com/downloadapp,574,1380084,8075,7462.58012896
腾讯医典,https://weibo.com/u/6401074009,339,895742,5753,8994.61025528
腾讯客服,https://weibo.com/tencentkefu,81,513990,559,24785.7091071
腾讯理财通,https://weibo.com/wxlicaitong,40,384404,1732,29861.6625751
腾讯NOW直播,https://weibo.com/nowzhibo,111,149282,1981,12066.3148384
腾讯微保,https://weibo.com/weibaowesure,72,444314,1341,9591.90291475
腾讯爱玩游戏,https://weibo.com/u/6534736496,339,195378,2835,8448.49537708
腾讯音乐人,https://weibo.com/tmemusician,218,30115,2486,5458.95196597
腾讯110,https://weibo.com/u/6596693426,335,217950,653,214844.401548
腾讯文档,https://weibo.com/qqdocs,144,31477,329,20966.6497243
腾讯汽车,https://weibo.com/qqauto,286,231805,4129,5369.67355232
腾讯赛车_Official,https://weibo.com/u/2491286007,135,8951,8802,9591.90291475
腾讯招聘,https://weibo.com/u/6553478705,53,14757,257,35042.1260947
腾讯房产官博,https://weibo.com/housetx,295,70244,1018,15199.114182
腾讯安全应急响应中心,https://weibo.com/tsrcteam,210,13311,1515,9591.90291475
腾讯家居,https://weibo.com/jia360love,80,268559,1022,
腾讯云,https://weibo.com/qcloud2014,97,28150,658,
腾讯王卡,https://weibo.com/u/6530888446,75,13276,176,20435.5225095
腾讯企鹅辅导,https://weibo.com/u/5977015783,259,46317,3987,4154.91945308
腾讯QQ钱包,https://weibo.com/u/5619439268,58,127273,404,9591.90291475
腾讯手游助手,https://weibo.com/u/6383393911,123,34266,820,9591.90291475
腾讯母婴,https://weibo.com/tengxunmuying,112,97425,483,
腾讯MacQQ产品团队,https://weibo.com/QQforMac,74,7878,545,5458.95196597
腾讯开放,https://weibo.com/tencentopen,799,242176,819,
腾讯QQ安全中心,https://weibo.com/qqsafe,110,21817,770,8968.14764669
腾讯财经,https://weibo.com/u/6279793619,424,15710,8164,9591.90291475
腾讯医疗健康,https://weibo.com/u/6461143362,42,17134,400,55556.5720013
腾讯艺术,https://weibo.com/TencentArt,356,17475,1252,9591.90291475
腾讯游戏手机,https://weibo.com/u/7481816699,91,22143,146,9591.90291475
TME_official,https://weibo.com/u/6604869546,669,804257,3573,9591.90291475
企鹅电竞,https://weibo.com/egameqq,606,530941,8308,8750.85307034
腾讯会议,https://weibo.com/tencentmeeting,24,75409,315,9591.90291475
腾讯程序员,https://weibo.com/u/7483028645,47,4970,112,
腾讯微云团队,https://weibo.com/u/2823322072,47,18542,450,9591.90291475
腾讯视频直播,https://weibo.com/u/5792807626,436,25942,1954,
