名字,url,关注数,粉丝数,微博数,色温
新浪体育电竞,https://weibo.com/u/1665680640,423,1308565,18783,492904.46573
微博电竞,https://weibo.com/u/6249241592,839,2632788,6240,
新浪电竞,https://weibo.com/haiqing1988,62,723492,1804,9591.90291475
腾讯电竞,https://weibo.com/u/6062063357,1259,1437393,10619,3932.71228224
人民电竞,https://weibo.com/renmindianjing,165,390174,2644,5458.95196597
AORUS技嘉电竞,https://weibo.com/gigabytevga,282,1002148,5503,8425.01972652
MAX电竞官博,https://weibo.com/dotamax,668,81137,4054,5054.91066465
魅族电竞,https://weibo.com/meizushequ,114,134911,4284,
企鹅电竞,https://weibo.com/egameqq,606,530903,8327,8750.85307034
网易电竞NeXT,https://weibo.com/u/6613329781,283,376974,4954,6771.90351124
体坛电竞,https://weibo.com/u/6185266780,257,77700,4415,-4811.65564332
哔哩哔哩电竞公司,https://weibo.com/u/6885103018,118,471614,509,10900.3551656
乐动电竞官方,https://weibo.com/u/5612937687,86,45763,452,5880.19957503
