名字,url,关注数,粉丝数,微博数,色温
腾讯视频,https://weibo.com/ilovevideo,3191,14513280,97171,6006.27868744
腾讯体育,https://weibo.com/tengxuntiyu,391,3357631,48679,2506.35361547
腾讯微信团队,https://weibo.com/weixinteam,44,576102,1188,
腾讯视频VIP,https://weibo.com/hollywoodtheatre,804,2053315,29705,5995.8637978
腾讯综艺,https://weibo.com/remendezongyi,1713,4148991,40310,7063.86020286
腾讯微视,https://weibo.com/u/6479255096,1340,1754238,14023,10895.7917544
腾讯公司,https://weibo.com/tencent,195,825578,1218,11374.8885751
腾讯电视剧,https://weibo.com/u/3752699924,606,1639558,25177,5995.8637978
腾讯NintendoSwitch,https://weibo.com/u/7229718199,14,340050,274,2045.9371443
腾讯新闻出品,https://weibo.com/tengxunxinwen,317,600913,8083,5637.41597385
腾讯视频拜托了冰箱,https://weibo.com/u/5687925374,305,1510192,5436,5255.60090095
腾讯动漫,https://weibo.com/u/5203786516,877,1221867,15760,7034.89720353
腾讯视频明日之子,https://weibo.com/u/6092234294,405,1921238,7885,3426.908951
腾讯视频Beauty小姐,https://weibo.com/u/6751224464,97,639279,1420,6635.04449787
腾讯新闻,https://weibo.com/u/2806170583,403,662081,19100,63945.6146807
腾讯视频娱乐,https://weibo.com/u/6426064539,771,720305,14296,5501.40876632
腾讯视频创造营2020,https://weibo.com/u/7401796719,144,732046,2031,11459.2542208
和陌生人说话-腾讯新闻,https://weibo.com/hmsrsh,269,174691,760,5555.78977271
腾讯视频创造101,https://weibo.com/u/6421853571,153,1710941,1861,3263.7567898
腾讯娱乐,https://weibo.com/u/3182423937,1455,518825,10037,
腾讯游戏,https://weibo.com/u/3604205173,549,1722218,5683,3808.28605632
腾讯电竞,https://weibo.com/u/6062063357,1252,1432036,10533,3932.71228224
腾讯电影,https://weibo.com/qqmovies,581,1447650,19889,8537.39511856
腾讯超级影视VIP,https://weibo.com/u/6510949403,834,3583263,10801,7455.76528313
腾讯NBA,https://weibo.com/u/5885931990,278,676537,21536,5320.24093064
腾讯影业,https://weibo.com/tencentpictures,457,1635881,5164,14087.1341818
腾讯WeGame,https://weibo.com/u/6068787464,116,396390,888,5383.66726651
腾讯视频WeTV,https://weibo.com/wetvvip,113,292850,1737,9591.90291475
谷雨-腾讯新闻,https://weibo.com/guyustory,382,108499,1316,
腾讯地图,https://weibo.com/SOSOmap,427,2062565,8593,16737.4749989
腾讯视频放开我北鼻,https://weibo.com/fangkaiwobaby,170,1032651,3071,6762.86678909
腾讯视频德云斗笑社,https://weibo.com/u/7404007893,56,407147,1561,5127.71404165
腾讯微信读书,https://weibo.com/u/5688848952,286,146409,1726,9591.90291475
腾讯视频让生活好看,https://weibo.com/u/7415663508,19,672909,806,2006.49708472
腾讯视频doki,https://weibo.com/qqvstar,1213,360289,14067,4138.80019217
腾讯QQ,https://weibo.com/tencentmobileqq,215,367418,1929,
腾讯视频心动的信号,https://weibo.com/xindongdexinhao,77,457310,2840,3481.83964361
腾讯新闻十三邀,https://weibo.com/tencent131,97,102061,676,1662.69703046
棱镜深网-腾讯新闻,https://weibo.com/zhengpianqq,302,90262,4620,13346.5192388
腾讯视频创造营2019,https://weibo.com/u/3156477622,141,1521283,1885,36752.3207808
腾讯视频令人心动的offer,https://weibo.com/u/7202417878,50,656705,2232,12870.5862993
腾讯视频音乐,https://weibo.com/tencentmusic,1571,764862,19111,4537.61795124
腾讯视频脑力男人时代,https://weibo.com/areumormal2016,259,864052,1824,6356.94364865
腾讯新闻财约你,https://weibo.com/caiyueni,354,421413,13172,5548.61177206
腾讯视频演员请就位,https://weibo.com/u/6178982795,144,1699332,2110,5458.95196597
大家-腾讯新闻,https://weibo.com/tencentdajia,588,101988,9883,5459.22783786
腾讯美食,https://weibo.com/u/6172745943,95,226034,1220,4763.48364579
腾讯新闻好雨知时工作室,https://weibo.com/haoyuzhishi,159,504387,1108,9591.90291475
腾讯游戏安全中心,https://weibo.com/u/6160862917,287,462359,4823,13382.3700833
腾讯A咖时尚,https://weibo.com/Akashishang,660,585263,3647,2040.36491336
腾讯时尚,https://weibo.com/u/6011462323,720,1311671,16772,5462.25805223
腾讯视频超新星运动会,https://weibo.com/u/6718935571,407,294487,2319,-1706281.23482
腾讯电脑管家,https://weibo.com/qqpcmgr,718,1585706,15463,-4272879.70452
腾讯手机管家,https://weibo.com/txmanager,429,2412648,14241,27404.5056669
腾讯视频约吧大明星,https://weibo.com/u/5797544882,140,730617,1843,5253.56635383
腾讯CBA,https://weibo.com/tencentbasketball,479,453922,22788,
腾讯视频幸福三重奏,https://weibo.com/u/6433852874,51,183489,2265,5168.56811565
腾讯视频奇遇人生,https://weibo.com/u/6626714051,41,345971,880,5732.53346214
腾讯视频动漫,https://weibo.com/u/3889146127,579,121060,6044,9047.04691717
腾讯课堂,https://weibo.com/tencentketang,370,91440,1281,
腾讯网游加速器官方微博,https://weibo.com/u/6500847626,23,170165,412,9591.90291475
腾讯看点,https://weibo.com/u/5976039883,270,294205,1416,1897.87621772
腾讯CDC体验设计,https://weibo.com/txcdc,1451,39325,707,5110.54683964
腾讯应用宝,https://weibo.com/downloadapp,574,1380084,8075,7462.58012896
腾讯视频草场地,https://weibo.com/u/6511158314,513,71948,2300,5165.06458702
腾讯视频大牌驾到,https://weibo.com/u/3362445512,84,594528,3142,5886.86834829
腾讯视频看你往哪跑,https://weibo.com/kanniwangnapao,115,308793,779,1825.65993215
腾讯医典,https://weibo.com/u/6401074009,339,895742,5753,8994.61025528
腾讯客服,https://weibo.com/tencentkefu,81,513990,559,24785.7091071
腾讯视频拜托了衣橱,https://weibo.com/u/5933528429,89,196549,876,5227.32165975
腾讯理财通,https://weibo.com/wxlicaitong,40,384404,1732,29861.6625751
腾讯NOW直播,https://weibo.com/nowzhibo,111,149282,1981,12066.3148384
腾讯视频我们是真正的朋友,https://weibo.com/u/7053803365,32,77237,832,4579.79196948
腾讯微保,https://weibo.com/weibaowesure,72,444314,1341,9591.90291475
腾讯新闻仅三天可见,https://weibo.com/only3days,37,54319,230,2916.85045546
腾讯爱玩游戏,https://weibo.com/u/6534736496,339,195378,2835,8448.49537708
腾讯视频-我们15个,https://weibo.com/thefifteenofus,125,366833,3350,4132.81300676
腾讯视频王者出击,https://weibo.com/u/6373499420,121,324117,927,4143.59369079
腾讯音乐人,https://weibo.com/tmemusician,218,30115,2486,5458.95196597
腾讯110,https://weibo.com/u/6596693426,335,217950,653,214844.401548
炫舞老张-腾讯科技,https://weibo.com/x5laozhang,72,228666,380,6253.03325775
腾讯视频炙热的我们,https://weibo.com/u/7389916318,84,102367,730,7461.83405424
腾讯文档,https://weibo.com/qqdocs,144,31477,329,20966.6497243
腾讯汽车,https://weibo.com/qqauto,286,231805,4129,5369.67355232
腾讯视频横冲直撞20岁,https://weibo.com/u/6862414549,24,281006,2009,6477.14853249
腾讯财看见,https://weibo.com/qqckj2017,250,27268,1936,9591.90291475
腾讯游戏TGideas,https://weibo.com/tgideas,168,11492,1119,5458.95196597
腾讯视频认真的嘎嘎们,https://weibo.com/u/7458379067,84,957284,1646,65260.2759714
腾讯视频脱口秀反跨年,https://weibo.com/u/7514383863,51,37312,246,1638.94247298
腾讯圣斗士星矢手游,https://weibo.com/u/6399222669,64,80597,1640,12484.9826286
腾讯赛车_Official,https://weibo.com/u/2491286007,135,8951,8802,9591.90291475
腾讯招聘,https://weibo.com/u/6553478705,53,14757,257,35042.1260947
腾讯极光,https://weibo.com/u/6524337592,420,1112605,5060,5064.10044699
腾讯视频合唱吧300,https://weibo.com/u/7145866216,84,85248,829,81673.4469709
腾讯新闻·立春驻厂办,https://weibo.com/u/7123394874,61,52770,696,12747.9356896
腾讯房产官博,https://weibo.com/housetx,295,70244,1018,15199.114182
腾讯益行家,https://weibo.com/charityhiker,58,44941,148,
腾讯音乐娱乐盛典官博,https://weibo.com/u/7319158225,39,39933,129,9591.90291475
腾讯视频听见她说,https://weibo.com/u/7515565460,28,20205,290,9591.90291475
